522-20-003-003-,"('L', 'P', 'S')","(512, 512, 214)","('0.29', '0.29', '1.25')"
522-20-016-016-,"('L', 'P', 'S')","(512, 512, 180)","('0.35', '0.35', '1.25')"
522-20-047-047-,"('L', 'P', 'S')","(512, 512, 181)","('0.30', '0.30', '1.25')"
522-20-090-090-,"('L', 'P', 'S')","(512, 512, 171)","('0.27', '0.27', '1.25')"
522-20-124-124-,"('L', 'P', 'S')","(512, 512, 190)","('0.31', '0.31', '1.25')"
522-20-240-240-,"('L', 'P', 'S')","(512, 512, 174)","('0.31', '0.31', '1.25')"
522-20-247-247-,"('L', 'P', 'S')","(512, 512, 228)","('0.31', '0.31', '1.25')"
522-20-295-295-,"('L', 'P', 'S')","(512, 512, 221)","('0.27', '0.27', '1.25')"
522-20-364-364-,"('L', 'P', 'S')","(512, 512, 149)","('0.27', '0.27', '1.25')"
522-20-453-453-,"('L', 'P', 'S')","(512, 512, 181)","('0.27', '0.27', '1.25')"
522-20-004-004,"('P', 'I', 'R')","(161, 338, 61)","('1.00', '1.00', '2.00')"
522-20-005-005,"('P', 'I', 'R')","(154, 295, 154)","('1.00', '1.00', '1.00')"
522-20-006-006,"('P', 'I', 'R')","(915, 1189, 121)","('1.00', '1.00', '3.00')"
522-20-007-007,"('P', 'I', 'R')","(250, 325, 38)","('1.00', '1.00', '3.00')"
522-20-008-008,"('P', 'I', 'R')","(269, 269, 73)","('1.00', '1.00', '2.00')"
522-20-009-009,"('P', 'I', 'R')","(459, 459, 66)","('1.00', '1.00', '2.00')"
522-20-014-014,"('P', 'I', 'R')","(186, 186, 40)","('1.00', '1.00', '2.00')"
522-20-015-015,"('P', 'I', 'R')","(291, 291, 58)","('1.00', '1.00', '2.00')"
522-20-031-031,"('P', 'I', 'R')","(216, 216, 74)","('1.00', '1.00', '2.00')"
522-20-033-033,"('P', 'I', 'R')","(275, 605, 81)","('1.00', '1.00', '2.00')"
522-20-034-034,"('P', 'I', 'R')","(231, 462, 97)","('1.00', '1.00', '3.00')"
522-20-036-036,"('P', 'I', 'R')","(234, 234, 88)","('1.00', '1.00', '2.00')"
522-20-043-043,"('P', 'I', 'R')","(407, 407, 75)","('1.00', '1.00', '2.00')"
522-20-046-046,"('P', 'I', 'R')","(198, 198, 50)","('1.00', '1.00', '2.00')"
522-20-048-048,"('P', 'I', 'R')","(175, 175, 57)","('1.00', '1.00', '2.00')"
522-20-051-051,"('L', 'P', 'S')","(392, 392, 453)","('1.00', '1.00', '1.00')"
522-20-056-056,"('P', 'I', 'R')","(183, 363, 115)","('1.00', '1.00', '2.00')"
522-20-060-060,"('P', 'I', 'R')","(204, 272, 62)","('1.00', '1.00', '2.00')"
522-20-061-061,"('P', 'I', 'R')","(492, 640, 110)","('1.00', '1.00', '3.00')"
522-20-063-063,"('L', 'A', 'S')","(177, 177, 300)","('1.00', '1.00', '1.00')"
522-20-064-064,"('P', 'I', 'R')","(512, 512, 38)","('0.96', '0.96', '2.00')"
522-20-065-065,"('P', 'I', 'R')","(196, 196, 80)","('1.00', '1.00', '2.00')"
522-20-068-068,"('P', 'I', 'R')","(445, 579, 132)","('1.00', '1.00', '3.00')"
522-20-072-072,"('L', 'A', 'S')","(162, 162, 253)","('1.00', '1.00', '1.00')"
522-20-074-074,"('L', 'A', 'S')","(512, 512, 688)","('0.98', '0.98', '1.00')"
522-20-075-075,"('L', 'A', 'S')","(381, 381, 252)","('1.00', '1.00', '1.00')"
522-20-076-076,"('P', 'I', 'R')","(256, 256, 71)","('1.00', '1.00', '2.00')"
522-20-082-082,"('L', 'A', 'S')","(444, 444, 709)","('1.00', '1.00', '1.00')"
522-20-088-088,"('L', 'A', 'S')","(250, 250, 372)","('1.00', '1.00', '1.00')"
522-20-091-091,"('L', 'A', 'S')","(365, 365, 619)","('1.00', '1.00', '1.00')"
522-20-096-096,"('L', 'A', 'S')","(369, 369, 669)","('1.00', '1.00', '1.00')"
522-20-097-097,"('L', 'A', 'S')","(382, 382, 541)","('1.00', '1.00', '1.00')"
522-20-100-100,"('L', 'A', 'S')","(512, 512, 315)","('0.98', '0.98', '1.00')"
522-20-102-102,"('L', 'A', 'S')","(210, 210, 292)","('1.00', '1.00', '1.00')"
522-20-104-104,"('L', 'A', 'S')","(312, 312, 497)","('1.00', '1.00', '1.00')"
522-20-105-105,"('L', 'A', 'S')","(182, 182, 219)","('1.00', '1.00', '1.00')"
522-20-107-107,"('L', 'A', 'S')","(300, 300, 346)","('1.00', '1.00', '1.00')"
522-20-111-111,"('L', 'A', 'S')","(187, 187, 269)","('1.00', '1.00', '1.00')"
522-20-112-112,"('L', 'A', 'S')","(350, 350, 440)","('1.00', '1.00', '1.00')"
522-20-113-113,"('L', 'A', 'S')","(183, 183, 211)","('1.00', '1.00', '1.00')"
522-20-122-122,"('L', 'A', 'S')","(168, 168, 509)","('1.00', '1.00', '1.00')"
522-20-127-127,"('L', 'A', 'S')","(350, 350, 637)","('1.00', '1.00', '1.00')"
522-20-133-133,"('L', 'A', 'S')","(427, 427, 472)","('1.00', '1.00', '1.00')"
522-20-134-134,"('L', 'A', 'S')","(152, 152, 195)","('1.00', '1.00', '1.00')"
522-20-135-135,"('L', 'A', 'S')","(380, 380, 640)","('1.00', '1.00', '1.00')"
522-20-137-137,"('L', 'A', 'S')","(199, 199, 227)","('1.00', '1.00', '1.00')"
522-20-139-139,"('P', 'I', 'R')","(153, 300, 61)","('1.00', '1.00', '2.00')"
522-20-141-141,"('P', 'I', 'R')","(191, 489, 67)","('1.00', '1.00', '2.00')"
522-20-145-145,"('L', 'A', 'S')","(357, 357, 619)","('1.00', '1.00', '1.00')"
522-20-146-146,"('L', 'A', 'S')","(171, 171, 149)","('1.00', '1.00', '1.00')"
522-20-151-151,"('L', 'A', 'S')","(391, 391, 670)","('1.00', '1.00', '1.00')"
522-20-152-152,"('L', 'A', 'S')","(174, 174, 247)","('1.00', '1.00', '1.00')"
522-20-207-207,"('P', 'S', 'R')","(158, 158, 68)","('1.00', '1.00', '2.00')"
522-20-254-254,"('P', 'S', 'R')","(194, 636, 61)","('1.00', '1.00', '2.00')"
522-20-257-257,"('P', 'S', 'R')","(191, 345, 52)","('1.00', '1.00', '2.00')"
522-20-401-401-201,"('P', 'I', 'R')","(152, 179, 152)","('1.00', '1.00', '1.00')"
522-20-401-401-253,"('L', 'A', 'S')","(371, 371, 594)","('1.00', '1.00', '1.00')"
522-20-402-402-202,"('P', 'S', 'R')","(157, 266, 40)","('1.00', '1.00', '2.00')"
522-20-402-402-251,"('P', 'S', 'R')","(331, 696, 100)","('1.00', '1.00', '2.00')"
522-20-403-403-208,"('P', 'S', 'R')","(221, 243, 51)","('1.00', '1.00', '2.00')"
522-20-403-403-255,"('P', 'S', 'R')","(346, 705, 174)","('1.00', '1.00', '2.00')"
522-20-405-405-212,"('P', 'S', 'R')","(246, 279, 82)","('1.00', '1.00', '2.00')"
522-20-405-405-258,"('P', 'S', 'R')","(143, 379, 61)","('1.00', '1.00', '2.00')"
522-20-405-405-259,"('P', 'S', 'R')","(228, 376, 135)","('1.00', '1.00', '2.00')"
522-20-406-406-214,"('P', 'S', 'R')","(283, 239, 75)","('1.00', '1.00', '2.00')"
522-20-406-406-261,"('P', 'S', 'R')","(216, 568, 68)","('1.00', '1.00', '2.00')"
522-20-407-407-215,"('P', 'S', 'R')","(114, 198, 61)","('1.00', '1.00', '2.00')"
522-20-407-407-262,"('P', 'S', 'R')","(195, 629, 61)","('1.00', '1.00', '2.00')"
522-20-408-408-223,"('L', 'A', 'S')","(210, 210, 183)","('1.00', '1.00', '1.00')"
522-20-408-408-265,"('L', 'A', 'S')","(250, 250, 571)","('1.00', '1.00', '1.00')"
522-20-409-409-226,"('L', 'A', 'S')","(287, 287, 270)","('1.00', '1.00', '1.00')"
522-20-409-409-266,"('L', 'A', 'S')","(222, 222, 589)","('1.00', '1.00', '1.00')"
522-20-410-410-227,"('L', 'A', 'S')","(257, 257, 214)","('1.00', '1.00', '1.00')"
522-20-410-410-267,"('L', 'A', 'S')","(208, 208, 543)","('1.00', '1.00', '1.00')"
522-20-411-411-232,"('L', 'A', 'S')","(173, 173, 184)","('1.00', '1.00', '1.00')"
522-20-411-411-270,"('L', 'A', 'S')","(317, 317, 559)","('1.00', '1.00', '1.00')"
522-20-413-413-239,"('L', 'A', 'S')","(182, 182, 258)","('1.00', '1.00', '1.00')"
522-20-413-413-272,"('L', 'A', 'S')","(209, 209, 603)","('1.00', '1.00', '1.00')"
522-20-415-415-243,"('P', 'S', 'R')","(160, 213, 61)","('1.00', '1.00', '2.00')"
522-20-415-415-275,"('P', 'S', 'R')","(179, 692, 88)","('1.00', '1.00', '2.00')"
522-20-500-500-,"('L', 'A', 'S')","(512, 512, 542)","('0.68', '0.68', '0.90')"
522-20-503-503-,"('L', 'A', 'S')","(768, 768, 740)","('0.27', '0.27', '0.45')"
522-20-504-504-,"('L', 'A', 'S')","(512, 512, 460)","('0.89', '0.89', '0.90')"
522-20-506-506-,"('L', 'A', 'S')","(512, 512, 817)","('0.87', '0.87', '0.90')"
522-20-507-507-,"('L', 'A', 'S')","(768, 768, 665)","('0.30', '0.30', '0.45')"
522-20-510-510-,"('L', 'A', 'S')","(512, 512, 722)","('0.80', '0.80', '0.90')"
522-20-514-514-,"('L', 'A', 'S')","(512, 512, 688)","('0.71', '0.71', '0.90')"
522-20-518-518-,"('L', 'A', 'S')","(512, 512, 743)","('0.85', '0.85', '0.90')"
522-20-519-519-,"('L', 'A', 'S')","(512, 512, 738)","('0.87', '0.87', '0.90')"
522-20-521-521-,"('L', 'A', 'S')","(512, 512, 487)","('0.68', '0.68', '1.00')"
522-20-525-525-,"('P', 'S', 'R')","(512, 1229, 119)","('0.38', '0.38', '3.00')"
522-20-527-527-,"('L', 'A', 'S')","(512, 512, 589)","('0.78', '0.78', '0.90')"
522-20-532-532-,"('L', 'A', 'S')","(512, 512, 993)","('0.93', '0.93', '0.60')"
522-20-533-533-,"('L', 'A', 'S')","(512, 512, 1182)","('0.72', '0.72', '0.60')"
522-20-534-534-,"('L', 'A', 'S')","(512, 512, 506)","('0.89', '0.89', '0.90')"
522-20-535-535-,"('L', 'A', 'S')","(512, 512, 550)","('0.91', '0.91', '0.90')"
522-20-536-536-,"('L', 'A', 'S')","(512, 512, 610)","('0.80', '0.80', '0.90')"
522-20-537-537-,"('L', 'A', 'S')","(512, 512, 493)","('0.87', '0.87', '0.90')"
522-20-539-539-,"('L', 'A', 'S')","(512, 512, 678)","('0.98', '0.98', '0.90')"
522-20-541-541-,"('L', 'A', 'S')","(512, 512, 534)","('0.74', '0.74', '0.90')"
522-20-542-542-,"('L', 'A', 'S')","(512, 512, 755)","('0.93', '0.93', '0.90')"
522-20-544-544-,"('L', 'A', 'S')","(512, 512, 528)","('0.70', '0.70', '0.60')"
522-20-557-557-,"('L', 'A', 'S')","(512, 512, 699)","('0.76', '0.76', '0.90')"
522-20-561-561-,"('P', 'S', 'R')","(512, 1459, 134)","('0.48', '0.48', '2.00')"
522-20-564-564-,"('L', 'A', 'S')","(512, 512, 466)","('0.87', '0.87', '0.90')"
522-20-565-565-,"('L', 'A', 'S')","(512, 512, 621)","('0.80', '0.80', '0.90')"
522-20-577-577-,"('L', 'A', 'S')","(556, 512, 1284)","('0.82', '0.82', '0.60')"
522-20-581-581-,"('L', 'A', 'S')","(512, 512, 991)","('0.68', '0.68', '0.90')"
522-20-584-584-,"('L', 'A', 'S')","(512, 512, 545)","('0.98', '0.98', '0.90')"
522-20-586-586-,"('L', 'A', 'S')","(512, 512, 792)","('0.92', '0.92', '0.90')"
522-20-017-017,"('L', 'P', 'S')","(512, 512, 229)","('0.32', '0.32', '1.25')"
522-20-045-045,"('L', 'P', 'S')","(512, 512, 221)","('0.29', '0.29', '1.25')"
522-20-059-059,"('L', 'P', 'S')","(512, 512, 204)","('0.27', '0.27', '1.25')"
522-20-068-068,"('L', 'P', 'S')","(512, 512, 206)","('0.37', '0.37', '1.25')"
522-20-099-099,"('L', 'P', 'S')","(512, 512, 222)","('0.35', '0.35', '1.25')"
522-20-144-144,"('L', 'P', 'S')","(512, 512, 202)","('0.27', '0.27', '1.25')"
522-20-153-153,"('L', 'P', 'S')","(512, 512, 201)","('0.32', '0.32', '1.25')"
522-20-352-352,"('L', 'P', 'S')","(512, 512, 210)","('0.35', '0.35', '1.25')"
522-20-108-108-,"('L', 'P', 'S')","(512, 512, 175)","('0.33', '0.33', '1.25')"
522-20-146-146-,"('L', 'P', 'S')","(512, 512, 204)","('0.38', '0.38', '1.25')"
522-20-195-195-,"('L', 'P', 'S')","(512, 512, 195)","('0.31', '0.31', '1.25')"
522-20-108-108-,"('L', 'P', 'S')","(512, 512, 175)","('0.33', '0.33', '1.25')"
522-20-146-146-,"('L', 'P', 'S')","(512, 512, 204)","('0.38', '0.38', '1.25')"
522-20-195-195-,"('L', 'P', 'S')","(512, 512, 195)","('0.31', '0.31', '1.25')"
522-20-216-216-,"('L', 'P', 'S')","(512, 512, 162)","('0.31', '0.31', '1.25')"
522-20-217-217-,"('L', 'P', 'S')","(512, 512, 204)","('0.29', '0.29', '1.25')"
522-20-279-279-,"('L', 'P', 'S')","(512, 512, 373)","('0.43', '0.43', '1.25')"
522-20-348-348-,"('L', 'P', 'S')","(512, 512, 171)","('0.27', '0.27', '1.25')"
522-20-419-419-,"('L', 'P', 'S')","(512, 512, 195)","('0.31', '0.31', '1.25')"
522-20-428-428-,"('L', 'P', 'S')","(512, 512, 192)","('0.35', '0.35', '1.25')"
522-20-492-492-,"('L', 'P', 'S')","(512, 512, 199)","('0.27', '0.27', '1.25')"
522-20-012-012,"('P', 'I', 'R')","(194, 252, 35)","('1.00', '1.00', '3.00')"
522-20-020-020,"('P', 'I', 'R')","(402, 402, 85)","('1.00', '1.00', '2.00')"
522-20-029-029,"('P', 'I', 'R')","(461, 599, 98)","('1.00', '1.00', '3.00')"
522-20-032-032,"('P', 'I', 'R')","(184, 303, 61)","('1.00', '1.00', '2.00')"
522-20-038-038,"('P', 'I', 'R')","(405, 525, 116)","('1.00', '1.00', '3.00')"
522-20-003-003-,"('L', 'P', 'S')","(512, 512, 214)","('0.29', '0.29', '1.25')"
522-20-016-016-,"('L', 'P', 'S')","(512, 512, 180)","('0.35', '0.35', '1.25')"
522-20-047-047-,"('L', 'P', 'S')","(512, 512, 181)","('0.30', '0.30', '1.25')"
522-20-090-090-,"('L', 'P', 'S')","(512, 512, 171)","('0.27', '0.27', '1.25')"
522-20-124-124-,"('L', 'P', 'S')","(512, 512, 190)","('0.31', '0.31', '1.25')"
522-20-240-240-,"('L', 'P', 'S')","(512, 512, 174)","('0.31', '0.31', '1.25')"
522-20-247-247-,"('L', 'P', 'S')","(512, 512, 228)","('0.31', '0.31', '1.25')"
522-20-295-295-,"('L', 'P', 'S')","(512, 512, 221)","('0.27', '0.27', '1.25')"
522-20-364-364-,"('L', 'P', 'S')","(512, 512, 149)","('0.27', '0.27', '1.25')"
522-20-453-453-,"('L', 'P', 'S')","(512, 512, 181)","('0.27', '0.27', '1.25')"
522-20-004-004,"('P', 'I', 'R')","(161, 338, 61)","('1.00', '1.00', '2.00')"
522-20-005-005,"('P', 'I', 'R')","(154, 295, 154)","('1.00', '1.00', '1.00')"
